max_depth,generation,id,individual,fitness
4,3,11,"sub(CAPACITY, DISTANCE)",-2737.0869470519438
4,3,12,"sub(CAPACITY, INITIAL_CAPACITY)",-3526.758698883071
4,3,13,"div(INITIAL_CAPACITY, DISTANCE)",-2783.185579015526
4,3,14,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,15,"div(CAPACITY, CAPACITY)",-2778.8174254325213
4,3,16,"div(INITIAL_CAPACITY, INITIAL_CAPACITY)",-2778.8174254325213
4,3,17,"div(DISTANCE, CAPACITY)",-5790.178922502918
4,3,18,"div(INITIAL_CAPACITY, DISTANCE)",-2783.185579015526
4,3,19,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,3,20,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,21,"div(CAPACITY, add(DISTANCE, CAPACITY))",-2688.206276056533
4,3,22,"sub(DISTANCE, CAPACITY)",-6525.051111511678
4,3,23,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,24,"sub(CAPACITY, INITIAL_CAPACITY)",-3526.758698883071
4,3,25,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,26,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,3,27,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,28,"div(sub(CAPACITY, DISTANCE), DISTANCE)",-2688.206276056533
4,3,29,"div(CAPACITY, sub(DISTANCE, DISTANCE))",-2778.8174254325213
4,3,30,"div(DISTANCE, CAPACITY)",-5790.178922502918
4,3,31,INITIAL_CAPACITY,-3811.147489705553
4,3,32,"div(mult(CAPACITY, DISTANCE), DISTANCE)",-3767.162723437119
4,3,33,"add(add(mult(div(INITIAL_CAPACITY, CAPACITY), INITIAL_CAPACITY), mult(add(CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))), div(sub(div(DISTANCE, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(div(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, DISTANCE))))",-2760.547222442302
